name_of_cate,original_url,Last_page_link,list_page_no
སྐལ་བཟང་མེ་ཏོག,https://tb.kangbatv.com/kbdst/gshk_22707/,https://tb.kangbatv.com/kbdst/gshk_22707/index_5.html,5
དབང་མོའི་གནམ་གཤིས་ཁང་།,https://tb.kangbatv.com/wmbtq/,https://tb.kangbatv.com/wmbtq/index_20.html,20
ཚན་རིག་ཡོན་ཏན།,https://tb.kangbatv.com/kbdst/ydkpy2/,https://tb.kangbatv.com/kbdst/ydkpy2/index_9.html,9
ཀྲུང་དབྱང་གསར་འགྱུར་མཉམ་བསྒྲགས།,https://tb.kangbatv.com/kbdst/ysxwlb_22694/,https://tb.kangbatv.com/kbdst/ysxwlb_22694/index_20.html,20
ཁམས་པའི་བརྙན་འཕྲིན་གསར་འགྱུར།,https://tb.kangbatv.com/kbwsxw/,https://tb.kangbatv.com/kbwsxw/index_20.html,20
ཆོས་ལུགས་རིག་གནས།,https://tb.kangbatv.com/fj/folder1112/,https://tb.kangbatv.com/fj/folder1112/index_2.html,2
གྲུབ་མཐའ་ངོ་སྤྲོད།,https://tb.kangbatv.com/fj/folder1111/,no link last page link,1
དགོན་པ།,https://tb.kangbatv.com/fj/sm/,https://tb.kangbatv.com/fj/sm/index_8.html,8
མཁན་པོ་བླ་སྤྲུལ།,https://tb.kangbatv.com/fj/gsde/,https://tb.kangbatv.com/fj/gsde/index_5.html,5
བསྟན་བཅོས།,https://tb.kangbatv.com/fj/dj/,https://tb.kangbatv.com/fj/dj/index_12.html,12
ནང་བསྟན་ངོ་སྤྲོད།,https://tb.kangbatv.com/fj/jr/,no link last page link,1
སྤྱི་ཕན་དགེ་ལས།,https://tb.kangbatv.com/fj/folder385/,no link last page link,1
ཤམ་བྷ་ལའི་དཔེ་ཀློག,https://tb.kangbatv.com/fj/folder4430/,no link last page link,1
སྔོན་བྱོན་མཁས་དབང་།,https://tb.kangbatv.com/rw/xz/,https://tb.kangbatv.com/rw/xz/2020-03-11/334618_8.html,8
ལོ་རྒྱུས་མི་སྣ།,https://tb.kangbatv.com/rw/lsrw/,https://tb.kangbatv.com/rw/lsrw/2020-09-17/344728_8.html,8
རིག་པ་སྨྲ་བ།,https://tb.kangbatv.com/rw/zj/,https://tb.kangbatv.com/rw/zj/2022-08-12/616440_2.html,2
མཁན་ཆེན་བླ་སྤྲུལ།,https://tb.kangbatv.com/rw/gsde/,https://tb.kangbatv.com/rw/gsde/2020-03-11/334617_5.html,5
རྩོམ་པ་པོ།,https://tb.kangbatv.com/rw/zzj/,https://tb.kangbatv.com/rw/zzj/2022-09-26/621145_9.html,9
སྒྱུ་རྩལ་པ།,https://tb.kangbatv.com/rw/ysj/,https://tb.kangbatv.com/rw/ysj/2022-08-31/618851_2.html,2
ཁེ་ལས་པ།,https://tb.kangbatv.com/rw/qyj/,no link last page link,1
