file_name,links,data_path,audio_path
RFA_གོང་ས་མཆོག_1014,https://www.rfa.org/tibetan/dalai-lama/7th-day-of-lamrin-teaching-by-his-holiness-the-dalai-lama-12262015104544.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1045,https://www.rfa.org/tibetan/dalai-lama/2015-liberty-award-presented-to-representatives-of-his-holiness-the-dalai-lama-10272015154314.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1015,https://www.rfa.org/tibetan/dalai-lama/his-holiness-inaugurate-monlam-dictionary-12242015120806.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1046,https://www.rfa.org/tibetan/dalai-lama/ten-years-on-new-education-policy-10162015152613.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1016,https://www.rfa.org/tibetan/dalai-lama/his-holiness-teaching-in-tashi-lhumpu-12232015112129.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1047,https://www.rfa.org/tibetan/dalai-lama/his-holiness-at-paton-school-10142015101457.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1017,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-inaugurated-new-prayer-hall-of-tashi-lhunpo-manastery-12222015101408.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1048,https://www.rfa.org/tibetan/dalai-lama/hhdl-tells-parents-to-speak-tibetan-with-kids-10042015131550.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1018,https://www.rfa.org/tibetan/dalai-lama/3rd-day-of-lamrim-teaching-at-tashi-lhunpo-12222015095917.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1049,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-speech-to-tibetan-community-in-minnesota-10012015114617.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1019,https://www.rfa.org/tibetan/dalai-lama/hhdl-observed-sera-jey-exhibition-12202015111707.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_105,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-said-bodhichitta-gives-rise-to-peace-of-mind-09282023120548.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_102,https://www.rfa.org/tibetan/sargyur/dalai-lama-10042023150457.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1050,https://www.rfa.org/tibetan/dalai-lama/tibetan-struggle-base-on-culture-09242015111243.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1020,https://www.rfa.org/tibetan/dalai-lama/hhdl-begins-lamrim-teaching-at-tashi-lhunpo-12202015105817.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1051,https://www.rfa.org/tibetan/dalai-lama/his-holiness-in-london-09232015150306.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1021,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-inaugurated-new-prayer-hall-of-tashi-lhunpo-monastery-south-india-12192015131452.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1052,https://www.rfa.org/tibetan/dalai-lama/growing-wisdom-changing-people-09182015140713.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1022,https://www.rfa.org/tibetan/dalai-lama/mind-and-life-12182015153728.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1053,https://www.rfa.org/tibetan/dalai-lama/hhdl-london-events-09172015104333.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1023,https://www.rfa.org/tibetan/dalai-lama/mind-and-life-12162015143754.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
